image_id,file,language,gt_file,category,notes
en_coins_01,en_coins_01.jpg,english,gt/en_coins_01.txt,figures,"Chopmarked Coins bk, pp.100-101; single-col body + coin figs/captions + footnote; GT hand-transcribed from photo"
en_coins_02,en_coins_02.jpg,english,,figures,"same book pp.102-103; text + bulleted lists + coin figs/captions + footnote"
en_coins_03,en_coins_03.jpg,english,,figures,"same book pp.104-105; Hawai'i/Honduras; coin figs/captions + footnote; no GT (Tesseract interleaves the two facing pages line-by-line -> sequence WER would be pure noise)"
bg_01,bg_01.jpg,bulgarian,gt/bg_01.txt,clean,"Bulgarian history bk (Cyrillic), pp.174-175; single-col, bold place-names, footnote; reads in correct order; GT hand-transcribed from photo"
bg_02,bg_02.jpg,bulgarian,gt/bg_02.txt,clean,"same book pp.176-177; dense single-col; GT hand-transcribed from photo (some justified-line-split scramble, less pristine than bg_01)"
bg_03,bg_03.jpg,bulgarian,,clean,"same book pp.178-179; dense single-col, italic names, quotes"
it_geo_01,it_geo_01.jpg,italian,,figures,"Dolomites geology bk, pp.70-71; single main col + figure-explanation sidebars + photos; order scrambles"
it_geo_02,it_geo_02.jpg,italian,,figures,"same book pp.72-73; main col + map/diagram + sidebar captions"
it_geo_03,it_geo_03.jpg,italian,,figures,"same book pp.74-75; large photos + 2-up caption sidebars"
it_geo_04,it_geo_04.jpg,italian,gt/it_geo_04.blocks.json,multicol,"same book pp.86-87; genuine multi-column (2 prose cols + gutter-side caption col per subpage) + cross-gutter Fig.21 panorama; each caption on same subpage as its figure; BLOCK-ORDER GT (not verbatim text); ~90deg rotation, tan bg, sofa capture; owner-validated 2026-07-03"
it_geo_05,it_geo_05.jpg,italian,gt/it_geo_05.blocks.json,grouping,"Il Veneto bk ch.7 pp.168-169 (i4); EMBEDDED-CAPTION fixture: LEFT full-page watercolor map with its caption C2 sitting in the lower-left INSIDE the figure bbox -> detector swallows C2 (segmentation miss); RIGHT fossil photo + separate gutter caption C3 + prose; BLOCK-ORDER GT; sofa capture (map slightly top-truncated); owner-validated 2026-07-03"
it_geo_06,it_geo_06.jpg,italian,gt/it_geo_06.blocks.json,grouping,"Il Veneto bk ch.7 pp.188-189 (i5); GROUPING fixture: >=2 figures sharing one column -> LEFT 4 figs (3-cliff col + fossils plate) + 4-caption stack, number-keyed pairing (C26 mispairs by geometry); RIGHT 2 figs + 2 caps + 2-col prose; BLOCK-ORDER GT; sofa capture; owner-validated 2026-07-03"
it_geo_07,it_geo_07.jpg,italian,gt/it_geo_07.blocks.json,multicol,"Il Veneto bk ch.7 pp.190-191 (i6); READING-ORDER fixture: multi-panel evolutionary schema, each stage = diagram + two-column text (Tn-mid then Tn-right) -> tests ROW-major vs column-major linearization past N=1 (it_geo_04); + chronology table + 3-col inset; BLOCK-ORDER GT; sofa capture; owner-validated 2026-07-03"
